split,chip_id,role,source_layer,source_object,source_url,local_path,source_size_bytes,sha256
train,1029501,image,S1Weak,v1.1/data/flood_events/WeaklyLabeled/S1Weak/India_1029501_S1Weak.tif,https://storage.googleapis.com/sen1floods11/v1.1/data/flood_events/WeaklyLabeled/S1Weak/India_1029501_S1Weak.tif,raw/train/images/1029501.tif,1682476,6c282ef642e8702addf06332457f3be783a3fa53be16d7c482370e3bdeaeeb6b
train,1029501,label,S1OtsuLabelWeak,v1.1/data/flood_events/WeaklyLabeled/S1OtsuLabelWeak/India_1029501_S1OtsuLabelWeak.tif,https://storage.googleapis.com/sen1floods11/v1.1/data/flood_events/WeaklyLabeled/S1OtsuLabelWeak/India_1029501_S1OtsuLabelWeak.tif,raw/train/labels/1029501.tif,1386,6fe5ef6ff48cd6618c1208699eda6afd406ddbf9a39dcf25d56aa81e74764b9a
train,1064251,image,S1Weak,v1.1/data/flood_events/WeaklyLabeled/S1Weak/India_1064251_S1Weak.tif,https://storage.googleapis.com/sen1floods11/v1.1/data/flood_events/WeaklyLabeled/S1Weak/India_1064251_S1Weak.tif,raw/train/images/1064251.tif,1661867,f485a316dfe6581e0513e6db8663b8cc684ec63ab4fc621a0f531b5100c8e546
train,1064251,label,S1OtsuLabelWeak,v1.1/data/flood_events/WeaklyLabeled/S1OtsuLabelWeak/India_1064251_S1OtsuLabelWeak.tif,https://storage.googleapis.com/sen1floods11/v1.1/data/flood_events/WeaklyLabeled/S1OtsuLabelWeak/India_1064251_S1OtsuLabelWeak.tif,raw/train/labels/1064251.tif,2425,2beea8be8ab67527b8a551beffaf30a53e4d83450974e865c8b522f8fee2cefe
train,1068450,image,S1Weak,v1.1/data/flood_events/WeaklyLabeled/S1Weak/India_1068450_S1Weak.tif,https://storage.googleapis.com/sen1floods11/v1.1/data/flood_events/WeaklyLabeled/S1Weak/India_1068450_S1Weak.tif,raw/train/images/1068450.tif,1656538,db01232948567dfcca6a4afbc62649aad2b32b6d9cea2e3f1c4c53e993b4240f
train,1068450,label,S1OtsuLabelWeak,v1.1/data/flood_events/WeaklyLabeled/S1OtsuLabelWeak/India_1068450_S1OtsuLabelWeak.tif,https://storage.googleapis.com/sen1floods11/v1.1/data/flood_events/WeaklyLabeled/S1OtsuLabelWeak/India_1068450_S1OtsuLabelWeak.tif,raw/train/labels/1068450.tif,3324,87e62ff34fbeed5218ba7555dd95d14702499c6fe5a3b2718880f70113b95f32
train,1080875,image,S1Weak,v1.1/data/flood_events/WeaklyLabeled/S1Weak/India_1080875_S1Weak.tif,https://storage.googleapis.com/sen1floods11/v1.1/data/flood_events/WeaklyLabeled/S1Weak/India_1080875_S1Weak.tif,raw/train/images/1080875.tif,1658296,4666906f7ec8a089f392e765cef16cc84255b0c62bc1d908c672a33fe951404b
train,1080875,label,S1OtsuLabelWeak,v1.1/data/flood_events/WeaklyLabeled/S1OtsuLabelWeak/India_1080875_S1OtsuLabelWeak.tif,https://storage.googleapis.com/sen1floods11/v1.1/data/flood_events/WeaklyLabeled/S1OtsuLabelWeak/India_1080875_S1OtsuLabelWeak.tif,raw/train/labels/1080875.tif,3239,7829945886d0c880416536c15c880f4b97efdfd365f17f2f948010248eeb1dab
train,1098917,image,S1Weak,v1.1/data/flood_events/WeaklyLabeled/S1Weak/India_1098917_S1Weak.tif,https://storage.googleapis.com/sen1floods11/v1.1/data/flood_events/WeaklyLabeled/S1Weak/India_1098917_S1Weak.tif,raw/train/images/1098917.tif,1669619,709cb6418e93d6eacd6476f733636c03889f4d44749a9ec969f165be6d135f27
train,1098917,label,S1OtsuLabelWeak,v1.1/data/flood_events/WeaklyLabeled/S1OtsuLabelWeak/India_1098917_S1OtsuLabelWeak.tif,https://storage.googleapis.com/sen1floods11/v1.1/data/flood_events/WeaklyLabeled/S1OtsuLabelWeak/India_1098917_S1OtsuLabelWeak.tif,raw/train/labels/1098917.tif,1997,6b54b66d9a255b6683672d8b629a85e2dc264d03cbdb9586c56e7cff3b442ecf
