dataset_id,data_domain,dataset_name,assam_coverage,provider,access_url,format_or_service,spatial_resolution,temporal_resolution,primary_variables,platform_component,refresh_plan,access_and_provenance_notes
ASSAM_AOI_001,reference,Assam administrative boundary,Statewide,OpenStreetMap contributors,https://www.openstreetmap.org/copyright,GeoJSON,Administrative polygon,Static,Boundary geometry,AOI clipping and GIS dashboard,Review when an official boundary update is issued,Use the included Assam GeoJSON for technical AOI; verify statutory boundaries with Government of Assam sources
RAIN_GPM_001,weather,NASA GPM IMERG V07,Statewide clipped from global,NASA GES DISC,https://developers.google.com/earth-engine/datasets/catalog/NASA_GPM_L3_IMERG_V07,Earth Engine ImageCollection or NetCDF,0.1 degree approximately 11 km,30 minutes,Precipitation mm per hour,XGBoost rainfall lags and Hazard Score,Ingest every 30 minutes and aggregate to 1h 24h 48h and 72h,NASA data are publicly available; store retrieval time and provisional or permanent product status
RIVER_CWC_001,hydrology,CWC Flood Forecast and Hydrological Observation,Brahmaputra and Barak stations in Assam,Central Water Commission Government of India,https://ffs.india-water.gov.in/main/site,Official forecast portal or authorized data feed,Station based,Operational updates,Observed water level forecast level warning danger and highest flood levels,XGBoost target validation and authoritative alert layer,Refresh at least every 3 hours during flood season,Use only authorized or verified data exports and retain station ID issue time and source URL
RIVER_WRIS_001,hydrology,India-WRIS flood forecasting context,Assam river basins,India-WRIS and NRSC,https://indiawris.gov.in/wris/,Portal and approved downloads,Station and basin based,Operational updates,River and flood forecast context,Risk Engine hydrological context,Refresh according to source release,Use only officially exposed datasets and record the source version
SAR_S1_001,satellite,Sentinel-1 GRD SAR,Statewide clipped from global,ESA Copernicus,https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_S1_GRD,Earth Engine ImageCollection or GeoTIFF,10 m high-resolution GRD,Nominal 6-day revisit,VV VH and incidence angle,U-Net flood extent segmentation,Search for each compatible post-event pass,Filter to IW mode and matching orbit/polarization for before-after analysis; retain source scene identifiers
OPT_S2_001,satellite,Sentinel-2 SR Harmonized,Statewide clipped from global,ESA Copernicus,https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_S2_SR_HARMONIZED,Earth Engine ImageCollection or GeoTIFF,10 m and 20 m,Nominal 5-day revisit,Surface reflectance bands B2 B3 B4 B8 B11 B12,Optical validation NDWI and damage context,Select least-cloudy scenes during event window,Cloud masking is required; retain source scene identifiers and cloud-cover metadata
HAZARD_ASDMA_001,hazard,Assam Flood Hazard Atlas,Statewide and district-wise,Assam State Disaster Management Authority,https://asdma.gov.in/flood_hazard.html,Atlas and published maps,Varies by publication,Publication based,Historic flood hazard zones,Static Hazard Score baseline and U-Net validation,Review each new edition,Preserve publication year scale legend and citation; do not infer exact vector values from a visual atlas PDF
HAZARD_NDEM_001,hazard,NDEM and Bhuvan disaster services,Assam event data,NRSC and ISRO,https://bhuvan-app1.nrsc.gov.in/disaster/disaster.php,Web GIS and approved downloads,Varies by product,Event based,Disaster event maps and reference layers,Flood-event validation and dashboard reference,Check after declared events,Review portal terms and source metadata before automated ingestion
ROADS_OSM_001,gis_exposure,OpenStreetMap roads buildings and amenities,Statewide,OpenStreetMap contributors,https://download.geofabrik.de/asia/india.html,PBF GeoJSON or PostGIS,Feature dependent,Community updated,Road geometry buildings bridges access and amenity tags,PostGIS exposure analysis and pgRouting evacuation,Weekly or nightly depending on operational need,Retain OSM attribution and validate critical assets with authorities before operational use
POP_WORLDPOP_001,gis_exposure,WorldPop 100m population,Statewide clipped from global,WorldPop,https://developers.google.com/earth-engine/datasets/catalog/WorldPop_GP_100m_pop,GeoTIFF or Earth Engine ImageCollection,Approximately 100 m,Available annual vintages,Estimated residential population per cell,Exposure Score and affected population estimate,Use one documented population year per assessment,Population is an estimate not a live count; apply WorldPop attribution and show the data vintage
URBAN_ASSAM_001,gis_exposure,GIS GeoHUB Assam urban layers,Participating urban Assam areas,Directorate of Town and Country Planning Assam,https://gistcp.assam.gov.in/,Government GIS portal,Varies by layer,Portal update schedule,Urban planning and infrastructure layers,Urban exposure and dashboard context,Check portal update notices,Some layers may be restricted or non-commercial; review and comply with portal terms before copying
FACILITY_ASDMA_001,decision_support,Verified shelters relief camps medical facilities and supply depots,Assam districts,ASDMA and authorized district administration,https://asdma.gov.in/,Authorized CSV GeoJSON or verified published list,Point features,Operationally variable,Facility location type capacity status and verification time,Shelter selection resource allocation and evacuation planning,Verify before every operational use,Do not publish unverified live capacity personal contact details or sensitive locations; use the template schema in the package
